Colony mass (grams),MR (watts),Temperature ºC,Source,species,unit,comon name
180,0.991,25,-1,Apis mellifera,colony,honeybee
490,2.77,30,-1,Apis mellifera,colony,honeybee
528,0.878,20,-1,Apis mellifera,colony,honeybee
528,1.11,26,-1,Apis mellifera,colony,honeybee
565,5.75,30,-1,Apis mellifera,colony,honeybee
820,1.58,27,-1,Apis mellifera,colony,honeybee
1000,4.27,32,-1,Apis mellifera,colony,honeybee
1660,9.24,37,-1,Apis mellifera,colony,honeybee
28.1,0.981,29.7,-10,Apis mellifera,colony,honeybee
150,1.92,25,-11,Apis mellifera,colony,honeybee
1800,21.1,34,-11,Apis mellifera,colony,honeybee
1000,11.5,34,-9,Apis mellifera,colony,honeybee
200,8.54,34,-12,Apis mellifera,colony,honeybee
4.04,0.21,34,-13,Apis mellifera,colony,honeybee
6.82,0.3,34,-13,Apis mellifera,colony,honeybee
8.26,0.338,34,-13,Apis mellifera,colony,honeybee
21.5,0.878,34,-13,Apis mellifera,colony,honeybee
27.4,1.059,34,-13,Apis mellifera,colony,honeybee
46.3,1.2,34,-13,Apis mellifera,colony,honeybee
87.4,1.36,34,-13,Apis mellifera,colony,honeybee
96.8,1.68,34,-13,Apis mellifera,colony,honeybee
173,1.97,34,-13,Apis mellifera,colony,honeybee
180,1.91,34,-13,Apis mellifera,colony,honeybee
199,1.79,34,-13,Apis mellifera,colony,honeybee
409,2.51,34,-13,Apis mellifera,colony,honeybee
440,3.46,34,-13,Apis mellifera,colony,honeybee
607,3.67,34,-13,Apis mellifera,colony,honeybee
875,3.12,34,-13,Apis mellifera,colony,honeybee
1239,4.01,34,-13,Apis mellifera,colony,honeybee
6.57,0.104,34,-13,Apis mellifera,colony,honeybee
16.3,0.226,34,-13,Apis mellifera,colony,honeybee
27.2,0.345,34,-13,Apis mellifera,colony,honeybee
51.3,0.584,34,-13,Apis mellifera,colony,honeybee
128,0.864,34,-13,Apis mellifera,colony,honeybee
205,1.11,34,-13,Apis mellifera,colony,honeybee
1700,2.59,23.5,-14,Apis mellifera,colony,honeybee
22,0.02278,28,11,Nasutitermes ephratae,colony,termite
52,0.121,28,11,Nasutitermes ephratae,colony,termite
61,0.0181,28,11,Nasutitermes ephratae,colony,termite
85,0.0544,28,11,Nasutitermes ephratae,colony,termite
120,0.124,28,11,Nasutitermes ephratae,colony,termite
124,0.0221,28,11,Nasutitermes ephratae,colony,termite
146,0.0576,28,11,Nasutitermes ephratae,colony,termite
181,0.0623,28,11,Nasutitermes ephratae,colony,termite
219,0.103,28,11,Nasutitermes ephratae,colony,termite
233,0.0736,28,11,Nasutitermes ephratae,colony,termite
243,0.073,28,11,Nasutitermes ephratae,colony,termite
325,0.0957,28,11,Nasutitermes ephratae,colony,termite
340,0.0757,28,11,Nasutitermes ephratae,colony,termite
413,0.0777,28,11,Nasutitermes ephratae,colony,termite
424,0.0897,28,11,Nasutitermes ephratae,colony,termite
582,0.165,28,11,Nasutitermes ephratae,colony,termite
11,0.039,24,4,Odontomachus bauri,colony,ant
2,0.00592,24,4,Odontomachus bauri,colony,ant
1.9,0.00618,24,4,Odontomachus bauri,colony,ant
7,0.0331,24,4,Odontomachus bauri,colony,ant
3.5,0.0176,24,4,Odontomachus bauri,colony,ant
3.5,0.0202,24,4,Odontomachus bauri,colony,ant
0.7,0.00373,24,4,Odontomachus bauri,colony,ant
3,0.0204,24,4,Odontomachus bauri,colony,ant
2,0.0136,24,4,Odontomachus bauri,colony,ant
3,0.0302,24,4,Camponotous rufipes,colony,ant
4,0.0237,24,4,Camponotous rufipes,colony,ant
10.5,0.0497,24,4,Camponotous rufipes,colony,ant
12.5,0.0296,24,4,Camponotous rufipes,colony,ant
11.25,0.0366,24,4,Camponotous rufipes,colony,ant
10.1,0.0448,24,4,Camponotous rufipes,colony,ant
10.5,0.0373,24,4,Camponotous rufipes,colony,ant
10.5,0.0393,24,4,Camponotous rufipes,colony,ant
8,0.0322,24,4,Camponotous rufipes,colony,ant
7,0.029,24,4,Camponotous rufipes,colony,ant
3,0.0124,24,4,Camponotous rufipes,colony,ant
2.5,0.00961,24,4,Camponotous rufipes,colony,ant
3.5,0.0109,24,4,Camponotous rufipes,colony,ant
4.25,0.0121,24,4,Camponotous rufipes,colony,ant
2.25,0.00599,24,4,Camponotous rufipes,colony,ant
9.00E-01,0.00692,24,4,Zacryptocerus depressus,colony,ant
1.00E+00,0.0115,24,4,Zacryptocerus depressus,colony,ant
1.30E+00,0.005,24,4,Zacryptocerus depressus,colony,ant
1.60E+00,0.00473,24,4,Zacryptocerus depressus,colony,ant
5.00E-01,7.39E-04,24,4,Zacryptocerus depressus,colony,ant
2.10E+00,0.00311,24,4,Zacryptocerus depressus,colony,ant