species,mass_g,MR_watts2,Temperature_C,taxon
Apis mellifera ,1,4.27,32,social insects
Bombus lapidarius,18.7,0.93,30,social insects
Camponotus fulvopilosus,50,0.0738,25,social insects
Camponotous rufipes,12.5,0.03,24,social insects
Cubitermes exiguus ,52,0.059,30,social insects
Leptothorax Unifasciatus,0.48,0.000437,20,social insects
Nasutitermes ephratae,582,0.165,28,social insects
Odontomachus bauri,11,0.039,24,social insects
Vespa arenaria ,287.7,1.17,32,social insects
V. crabro,426,8.95,32,social insects
V. maculata,133.9,1.06,32,social insects
Zacryptocerus depressus,2.1,0.003,24,social insects